Nat,Pokemon,Generation,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve
594,Alomomola,V,165,75,80,40,45,65,470,Water,,Healer,Hydration,Regenerator,2 HP,Neutral,Water 1,Water 2,75,N
595,Joltik,V,50,47,50,57,50,65,319,Bug,Electric,Compoundeyes,Unnerve,Swarm,1 Spe,Neutral,Bug,,190,
596,Galvantula,V,70,77,60,97,60,108,472,Bug,Electric,Compoundeyes,Unnerve,Swarm,2 Spe,Neutral,Bug,,75,Lv. 36
597,Ferroseed,V,44,50,91,24,86,10,305,Grass,Steel,Iron Barbs,,,1 Def,Neutral,Grass,Mineral,255,
598,Ferrothorn,V,74,94,131,54,116,20,489,Grass,Steel,Iron Barbs,,Anticipation,2 Def,Neutral,Grass,Mineral,90,Lv. 40
599,Klink,V,40,55,70,45,60,30,300,Steel,,Plus,Minus,Clear Body,1 Def,None,Mineral,,130,
600,Klang,V,60,80,95,70,85,50,440,Steel,,Plus,Minus,Clear Body,2 Def,None,Mineral,,60,Lv. 38
601,Klinklang,V,60,100,115,70,85,90,520,Steel,,Plus,Minus,Clear Body,3 Def,None,Mineral,,30,Lv. 49
602,Tynamo,V,35,55,40,45,40,60,275,Electric,,Levitate,,,1 Spe,Neutral,Amorphous,,190,
603,Eelektrik,V,65,85,70,75,70,40,405,Electric,,Levitate,,,2 Atk,Neutral,Amorphous,,60,Lv. 39
604,Eelektross,V,85,115,80,105,80,50,515,Electric,,Levitate,,,3 Atk,Neutral,Amorphous,,30,Thunderstone
605,Elgyem,V,55,55,55,85,55,30,335,Psychic,,Telepathy,Synchronize,Analytic,1 SpA,Neutral,Human-Like,,255,
606,Beheeyem,V,75,75,75,125,95,40,485,Psychic,,Telepathy,Synchronize,Analytic,2 SpA,Neutral,Human-Like,,90,Lv. 42
607,Litwick,V,50,30,55,65,55,20,275,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,1 SpA,Neutral,Amorphous,,190,
608,Lampent,V,60,40,60,95,60,55,370,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,2 SpA,Neutral,Amorphous,,90,Lv. 41
609,Chandelure,V,60,55,90,145,90,80,520,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,3 SpA,Neutral,Amorphous,,45,Dusk Stone
610,Axew,V,46,87,60,30,40,57,320,Dragon,,Rivalry,Mold Breaker,Unnerve,1 Atk,Neutral,Monster,Dragon,75,
611,Fraxure,V,66,117,70,40,50,67,410,Dragon,,Rivalry,Mold Breaker,Unnerve,2 Atk,Neutral,Monster,Dragon,60,Lv. 38
612,Haxorus,V,76,147,90,60,70,97,540,Dragon,,Rivalry,Mold Breaker,Unnerve,3 Atk,Neutral,Monster,Dragon,45,Lv. 48
613,Cubchoo,V,55,70,40,60,40,40,305,Ice,,Snow Cloak,Slush Rush,Rattled,1 Atk,Neutral,Field,,120,
614,Beartic,V,95,130,80,70,80,50,505,Ice,,Snow Cloak,Slush Rush,Swift Swim,2 Atk,Neutral,Field,,60,Lv. 37
615,Cryogonal,V,80,50,50,95,135,105,515,Ice,,Levitate,,,2 SpD,None,Mineral,,25,N
616,Shelmet,V,50,40,85,40,65,25,305,Bug,,Hydration,Shell Armor,Overcoat,1 Def,Neutral,Bug,,200,
617,Accelgor,V,80,70,40,100,60,145,495,Bug,,Hydration,Sticky Hold,Unburden,2 Spe,Neutral,Bug,,75,Trade w/ Karrablast
618,Stunfisk,V,109,66,84,81,99,32,471,Ground,Electric,Static,Limber,Sand Viel,2 HP,Neutral,Water 1,Amorphous,75,N
619,Mienfoo,V,45,85,50,55,50,65,350,Fighting,,Inner Focus,Regenerator,Reckless,1 Atk,Neutral,Field,Human-Like,180,
620,Mienshao,V,65,125,60,95,60,105,510,Fighting,,Inner Focus,Regenerator,Reckless,2 Atk,Neutral,Field,Human-Like,45,Lv. 50
621,Druddigon,V,77,120,90,60,90,48,485,Dragon,,Rough Skin,Sheer Force,Mold Breaker,2 Atk,Neutral,Dragon,Monster,45,N
622,Golett,V,59,74,50,35,50,35,303,Ground,Ghost,Iron Fist,Klutz,No Guard,1 Atk,None,Mineral,,190,
623,Golurk,V,89,124,80,55,80,55,483,Ground,Ghost,Iron Fist,Klutz,No Guard,2 Atk,None,Mineral,,90,Lv. 43
624,Pawniard,V,45,85,70,40,40,60,340,Dark,Steel,Defiant,Inner Focus,Pressure,1 Atk,Neutral,Human-Like,,120,
625,Bisharp,V,65,125,100,60,70,70,490,Dark,Steel,Defiant,Inner Focus,Pressure,2 Atk,Neutral,Human-Like,,45,Lv. 52
626,Bouffalant,V,95,110,95,40,95,55,490,Normal,,Reckless,Sap Sipper,Soundproof,2 Atk,Neutral,Field,,45,N
627,Rufflet,V,70,83,50,37,50,60,350,Normal,Flying,Keen Eye,Sheer Force,Hustle,1 Atk,M (100%),Flying,,190,
628,Braviary,V,100,123,75,57,75,80,510,Normal,Flying,Keen Eye,Sheer Force,Defiant,2 Atk,M (100%),Flying,,60,Lv. 54
629,Vullaby,V,70,55,75,45,65,60,370,Dark,Flying,Big Pecks,Overcoat,Weak Armor,1 Def,F (100%),Flying,,190,
630,Mandibuzz,V,110,65,105,55,95,80,510,Dark,Flying,Big Pecks,Overcoat,Weak Armor,2 SpA,F (100%),Flying,,60,Lv. 54
631,Heatmor,V,85,97,66,105,66,65,484,Fire,,Gluttony,Flash Fire,White Smoke,2 SpA,Neutral,Field,,90,N
632,Durant,V,58,109,112,48,48,109,484,Bug,Steel,Swarm,Hustle,Truant,2 Def,Neutral,Bug,,90,N
633,Deino,V,52,65,50,45,50,38,300,Dark,Dragon,Hustle,,,1 Atk,Neutral,Dragon,,45,
634,Zweilous,V,72,85,70,65,70,58,420,Dark,Dragon,Hustle,,,2 Atk,Neutral,Dragon,,45,Lv. 50
635,Hydreigon,V,92,105,90,125,90,98,600,Dark,Dragon,Levitate,,,3 SpA,Neutral,Dragon,,45,Lv. 64
636,Larvesta,V,55,85,55,50,55,60,360,Bug,Fire,Flame Body,,Swarm,1 Atk,Neutral,Bug,,45,
637,Volcarona,V,85,60,65,135,105,100,550,Bug,Fire,Flame Body,,Swarm,3 SpA,Neutral,Bug,,15,Lv. 59
638,Cobalion,V,91,90,129,90,72,108,580,Steel,Fighting,Justified,,,3 Def,None,-,,3,N
639,Terrakion,V,91,129,90,72,90,108,580,Rock,Fighting,Justified,,,3 Atk,None,-,,3,N
640,Virizion,V,91,90,72,90,129,108,580,Grass,Fighting,Justified,,,3 SpD,None,-,,3,N
641,Tornadus,V,79,115,70,125,80,111,580,Flying,,Prankster,,Defiant,3 Atk,M (100%),-,,3,N
642,Thundurus,V,79,115,70,125,80,111,580,Electric,Flying,Prankster,,Defiant,3 Atk,M (100%),-,,3,N
643,Reshiram,V,100,120,100,150,120,90,680,Dragon,Fire,Turboblaze,,,3 SpA,None,-,,3,N
644,Zekrom,V,100,150,120,120,100,90,680,Dragon,Electric,Teravolt,,,3 Atk,None,-,,3,N
645,Landorus,V,89,125,90,115,80,101,600,Ground,Flying,Sand Force,,Sheer Force,3 SpA,M (100%),-,,3,N
646,Kyurem,V,125,130,90,130,90,95,660,Dragon,Ice,Pressure,,,"1 HP, 1 Atk, 1 SpA",None,-,,3,N
647,Keldeo,V,91,72,90,129,90,108,580,Water,Fighting,Justified,,,3 SpA,None,-,,3,N
648,Meloetta (A),V,100,77,77,128,128,90,600,Normal,Psychic,Serene Grace,,,"1 Spe, 1 SpA, 1 SpD",None,-,,3,N
649,Genesect,V,71,120,95,120,95,99,600,Bug,Steel,Download,,,"1 Atk, 1 Spe, 1 SpA",None,-,,3,N
650,Chespin,VI,56,61,65,48,45,38,313,Grass,,Overgrow,,Bulletproof,1 Def,M (87.5%),Field,,45,
651,Quilladin,VI,61,78,95,56,58,57,405,Grass,,Overgrow,,Bulletproof,2 Def,M (87.5%),Field,,45,Level 16
652,Chesnaught,VI,88,107,122,74,75,64,530,Grass,Fighting,Overgrow,,Bulletproof,3 Def,M (87.5%),Field,,45,Level 36
653,Fennekin,VI,40,45,40,62,60,60,307,Fire,,Blaze,,Magician,1 SpA,M (87.5%),Field,,45,
654,Braixen,VI,59,59,58,90,70,73,409,Fire,,Blaze,,Magician,2 SpA,M (87.5%),Field,,45,Level 16
655,Delphox,VI,75,69,72,114,100,104,534,Fire,Psychic,Blaze,,Magician,3 SpA,M (87.5%),Field,,45,Level 36
656,Froakie,VI,41,56,40,62,44,71,314,Water,,Torrent,,Protean,1 Spd,M (87.5%),Water 1,,45,
657,Frogadier,VI,54,63,52,83,56,97,405,Water,,Torrent,,Protean,2 Spd,M (87.5%),Water 1,,45,Level 16
658,Greninja,VI,72,95,67,103,71,122,530,Water,Dark,Torrent,,Protean,3 Spd,M (87.5%),Water 1,,45,Level 36
659,Bunnelby,VI,38,36,38,32,36,57,237,Normal,,Pickup,Cheek Pouch,Huge Power,1 Spd,Neutral,Field,,255,
660,Diggersby,VI,85,56,77,50,77,78,423,Normal,Ground,Pickup,Cheek Pouch,Huge Power,2 HP,Neutral,Field,,127,Level 20
661,Fletchling,VI,45,50,43,40,38,62,278,Normal,Flying,Big Pecks,,Gale Wings,1 Spd,Neutral,Flying,,255,
662,Fletchinder,VI,62,73,55,56,52,84,382,Fire,Flying,Flame Body,,Gale Wings,2 Spd,Neutral,Flying,,120,Level 17
663,Talonflame,VI,78,81,71,74,69,126,499,Fire,Flying,Flame Body,,Gale Wings,3 Spd,Neutral,Flying,,45,Level 35
664,Scatterbug,VI,38,35,40,27,25,35,200,Bug,,Shield Dust,Compound Eyes,Friend Guard,1 Def,Neutral,Bug,,255,
665,Spewpa,VI,45,22,60,27,30,29,213,Bug,,Shed Skin,,Friend Guard,2 Def,Neutral,Bug,,120,Level 9
666,Vivillon,VI,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,"1 HP, 1 SpA, 1 Spd",Neutral,Bug,,45,Level 12
667,Litleo,VI,62,50,58,73,54,72,369,Fire,Normal,Rivalry,Unnerve,Moxie,1 SpA,F (87.5%),Field,,220,
668,Pyroar,VI,86,68,72,109,66,106,507,Fire,Normal,Rivalry,Unnerve,Moxie,2 SpA,F (87.5%),Field,,65,Level 35
669,Flabébé,VI,44,38,39,61,79,42,303,Fairy,,Flower Veil,,Symbiosis,1 SpD,F (100%),Fairy,,255,
670,Floette,VI,54,45,47,75,98,52,371,Fairy,,Flower Veil,,Symbiosis,2 SpD,F (100%),Fairy,,120,Level 19
671,Florges,VI,78,65,68,112,154,75,552,Fairy,,Flower Veil,,Symbiosis,3 SpD,F (100%),Fairy,,45,Shiny Stone
672,Skiddo,VI,66,65,48,62,57,52,350,Grass,,Sap Sipper,,Grass Pelt,1 HP,Neutral,Field,,220,
673,Gogoat,VI,123,100,62,97,81,68,531,Grass,,Sap Sipper,,Grass Pelt,2 HP,Neutral,Field,,45,Level 32
674,Pancham,VI,67,82,62,46,48,43,348,Fighting,,Iron Fist,Mold Breaker,Scrappy,1 Atk,Neutral,Field,Human-like,220,
675,Pangoro,VI,95,124,78,69,71,58,495,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,2 Atk,Neutral,Field,Human-like,65,32 w/ Dark-type in Party
676,Furfrou,VI,75,80,60,65,90,102,472,Normal,,Fur Coat,,,1 Spd,Neutral,Field,,160,N
677,Espurr,VI,62,48,54,63,60,68,355,Psychic,,Keen Eye,Infiltrator,Own Tempo,1 Spd,Neutral,Field,,190,
678,Male Meowstic,VI,74,48,76,83,81,104,466,Psychic,,Keen Eye,Infiltrator,Prankster,2 Spd,M (100%),Field,,75,Level 25
679,Honedge,VI,45,80,100,35,37,28,325,Steel,Ghost,No Guard,,,1 Def,Neutral,Mineral,,180,
680,Doublade,VI,59,110,150,45,49,35,448,Steel,Ghost,No Guard,,,2 Def,Neutral,Mineral,,90,Level 35
681,S Aegislash,VI,60,50,140,50,140,60,500,Steel,Ghost,Stance Change,,,"2 Def, 1 SpD",Neutral,Mineral,,45,Dusk Stone
682,Spritzee,VI,78,52,60,63,65,23,341,Fairy,,Healer,,Aroma Veil,1 HP,Neutral,Fairy,,200,
683,Aromatisse,VI,101,72,72,99,89,29,462,Fairy,,Healer,,Aroma Veil,2 HP,Neutral,Fairy,,140,Trade w/ Satchet
684,Swirlix,VI,62,48,66,59,57,49,341,Fairy,,Sweet Veil,,Unburden,1 Def,Neutral,Fairy,,200,
685,Slurpuff,VI,82,80,86,85,75,72,480,Fairy,,Sweet Veil,,Unburden,2 Def,Neutral,Fairy,,140,Trade w/ Whipped Dream
686,Inkay,VI,53,54,53,37,46,45,288,Dark,Psychic,Contrary,Suction Cups,Infiltrator,1 Atk,Neutral,Water 1,Water 2,190,
687,Malamar,VI,86,92,88,68,75,73,482,Dark,Psychic,Contrary,Suction Cups,Infiltrator,2 Atk,Neutral,Water 1,Water 2,80,"Level 30, Console upside-down"
688,Binacle,VI,42,52,67,39,56,50,306,Rock,Water,Tough Claws,Sniper,Pickpocket,1 Atk,Neutral,Water 3,,120,
689,Barbaracle,VI,72,105,115,54,86,68,500,Rock,Water,Tough Claws,Sniper,Pickpocket,2 Atk,Neutral,Water 3,,45,Level 39
690,Skrelp,VI,50,60,60,60,60,30,320,Poison,Water,Poison Point,Poison Touch,Adaptability,1 SpD,Neutral,Water 1,Dragon,225,
691,Dragalge,VI,65,75,90,97,123,44,494,Poison,Dragon,Poison Point,Poison Touch,Adaptability,2 SpD,Neutral,Water 1,Dragon,55,Level 48
692,Clauncher,VI,50,53,62,58,63,44,330,Water,,Mega Launcher,,,1 SpA,Neutral,Water 1,Water 3,225,
693,Clawitzer,VI,71,73,88,120,89,59,500,Water,,Mega Launcher,,,2 SpA,Neutral,Water 1,Water 3,55,Level 37
694,Helioptile,VI,44,38,33,61,43,70,289,Electric,Normal,Dry Skin,Sand Veil,Solar Power,1 Spd,Neutral,Monster,Dragon,190,
695,Heliolisk,VI,62,55,52,109,94,109,481,Electric,Normal,Dry Skin,Sand Veil,Solar Power,"1 SpA, 1 Spd",Neutral,Monster,Dragon,75,Sun Stone
696,Tyrunt,VI,58,89,77,45,45,48,362,Rock,Dragon,Strong Jaw,,Sturdy,1 Atk,M (87.5%),Monster,Dragon,45,
697,Tyrantrum,VI,82,121,119,69,59,71,521,Rock,Dragon,Strong Jaw,,Rock Head,2 Atk,M (87.5%),Monster,Dragon,45,"Level 39, Day"
698,Amaura,VI,77,59,50,67,63,46,362,Rock,Ice,Refrigerate,,Snow Warning,1 HP,M (87.5%),Monster,,45,
699,Aurorus,VI,123,77,72,99,92,58,521,Rock,Ice,Refrigerate,,Snow Warning,2 HP,M (87.5%),Monster,,45,"Level 39, Night"
700,Sylveon,VI,95,65,65,110,130,60,525,Fairy,,Cute Charm,,Pixilate,2 SpD,M (87.5%),Field,,45,"High Friendship, Fairy Move Known"
701,Hawlucha,VI,78,92,75,74,63,118,500,Fighting,Flying,Limber,,Mold Breaker,2 Atk,Neutral,Flying,Human-like,100,N
702,Dedenne,VI,67,58,57,81,67,101,431,Electric,Fairy,Unburden,,Plus,2 Spd,Neutral,Field,Fairy,180,N
703,Carbink,VI,50,50,150,50,150,50,500,Rock,Fairy,Clear Body,,Sturdy,"1 Def, 1 SpD",None,Fairy,Mineral,60,N
704,Goomy,VI,45,50,35,55,75,40,300,Dragon,,Sap Sipper,Hydration,Gooey,1 SpD,Neutral,Dragon,,45,
705,Sliggoo,VI,68,75,53,83,113,60,452,Dragon,,Sap Sipper,Hydration,Gooey,2 SpD,Neutral,Dragon,,45,Level 40
706,Goodra,VI,90,100,70,110,150,80,600,Dragon,,Sap Sipper,Hydration,Gooey,3 SpD,Neutral,Dragon,,45,"Level 50, Overworld Rain"
707,Klefki,VI,57,80,91,80,87,75,470,Steel,Fairy,Prankster,,Magician,1 Def,Neutral,Mineral,,75,N
708,Phantump,VI,43,70,48,50,60,38,309,Grass,Ghost,Natural Cure,Frisk,Harvest,1 Atk,Neutral,Grass,Amorphous,120,
709,Trevenant,VI,85,110,76,65,82,56,474,Grass,Ghost,Natural Cure,Frisk,Harvest,2 Atk,Neutral,Grass,Amorphous,60,Trade
710,S Pumpkaboo,VI,44,66,70,44,55,56,335,Grass,Ghost,Pickup,Frisk,Insomnia,1 Def,Neutral,Amorphous,,120,
711,Sm Gourgeist,VI,55,85,122,58,75,99,494,Grass,Ghost,Pickup,Frisk,Insomnia,2 Def,Neutral,Amorphous,,60,Trade
712,Bergmite,VI,55,69,85,32,35,28,304,Ice,,Own Tempo,Ice Body,Sturdy,1 Def,Neutral,Monster,Mineral,190,
713,Avalugg,VI,95,117,184,44,46,28,514,Ice,,Own Tempo,Ice Body,Sturdy,2 Def,Neutral,Monster,Mineral,55,Level 37
714,Noibat,VI,40,30,35,45,40,55,245,Flying,Dragon,Frisk,Infiltrator,Telepathy,1 Spd,Neutral,Flying,Dragon,190,
715,Noivern,VI,85,70,80,97,80,123,535,Flying,Dragon,Frisk,Infiltrator,Telepathy,2 Spd,Neutral,Flying,Dragon,45,Level 48
716,Xerneas,VI,126,131,95,131,98,99,680,Fairy,,Fairy Aura,,,3 HP,None,-,,45,N
717,Yveltal,VI,126,131,95,131,98,99,680,Dark,Flying,Dark Aura,,,3 HP,None,-,,45,N
718,Zygarde 50%,VI,108,100,121,81,95,95,600,Dragon,Ground,Aura Break,Power Construct,,3 HP,None,-,,3,N
719,Diancie,VI,50,100,150,100,150,50,600,Rock,Fairy,Clear Body,,,"1 Def, 2 SpD",None,-,,3,N
720,Hoopa (C),VI,80,110,60,150,130,70,600,Psychic,Ghost,Magician,,,3 SpA,None,-,,3,N
721,Volcanion,VI,80,110,120,130,90,70,600,Fire,Water,Water Absorb,,,3 SpA,None,-,,3,N
722,Rowlet,VII,68,55,55,50,50,42,320,Grass,Flying,Overgrow,,Long Reach,1 HP,M (87.5%),Flying,,45,
723,Dartrix,VII,78,75,75,70,70,52,420,Grass,Flying,Overgrow,,Long Reach,2 HP,M (87.5%),Flying,,45,Level 17
724,Decidueye,VII,78,107,75,100,100,70,530,Grass,Ghost,Overgrow,,Long Reach,3 Atk,M (87.5%),Flying,,45,Level 34
725,Litten,VII,45,65,40,60,40,70,320,Fire,,Blaze,,Intimidate,1 Spd,M (87.5%),Field,,45,
726,Torracat,VII,65,85,50,80,50,90,420,Fire,,Blaze,,Intimidate,2 Spd,M (87.5%),Field,,45,Level 17
727,Incineroar,VII,95,115,90,80,90,60,530,Fire,Dark,Blaze,,Intimidate,3 Atk,M (87.5%),Field,,45,Level 34
728,Popplio,VII,50,54,54,66,56,40,320,Water,,Torrent,,Liquid Voice,1 SpA,M (87.5%),Water 1,Field,45,
729,Brionne,VII,60,69,69,91,81,50,420,Water,,Torrent,,Liquid Voice,2 SpA,M (87.5%),Water 1,Field,45,Level 17
730,Primarina,VII,80,74,74,126,116,60,530,Water,Fairy,Torrent,,Liquid Voice,3 SpA,M (87.5%),Water 1,Field,45,Level 34
731,Pikipek,VII,35,75,30,30,30,65,265,Normal,Flying,Keen Eye,Skill Link,Pickup,1 Atk,Neutral,Flying,,255,
732,Trumbeak,VII,55,85,50,40,50,75,355,Normal,Flying,Keen Eye,Skill Link,Pickup,2 Atk,Neutral,Flying,,120,Level 14
733,Toucannon,VII,80,120,75,75,75,60,485,Normal,Flying,Keen Eye,Skill Link,Sheer Force,3 Atk,Neutral,Flying,,45,Level 28
734,Yungoos,VII,48,70,30,30,30,45,253,Normal,,Stakeout,Strong Jaw,Adaptability,1 Atk,Neutral,Field,,255,
735,Gumshoos,VII,88,110,60,55,60,45,418,Normal,,Stakeout,Strong Jaw,Adaptability,2 Atk,Neutral,Field,,127,"Level 20, Day"
736,Grubbin,VII,47,62,45,55,45,46,300,Bug,,Swarm,,,1 Atk,Neutral,Bug,,255,
737,Charjabug,VII,57,82,95,55,75,36,400,Bug,,Battery,,,2 Def,Neutral,Bug,,120,Level 20
738,Vikavolt,VII,77,70,90,145,75,43,500,Bug,Electric,Levitate,,,3 SpA,Neutral,Bug,,45,Magnet Field or Thunderstone
739,Crabrawler,VII,47,82,57,42,47,63,338,Fighting,,Hyper Cutter,Iron Fist,Anger Point,1 Atk,Neutral,Water 3,,255,
740,Crabominable,VII,97,132,77,62,67,43,478,Fighting,Ice,Hyper Cutter,Iron Fist,Anger Point,2 Atk,Neutral,Water 3,,60,Level up in Mount Lanakila
741,Pom Oricorio,VII,75,70,70,98,70,93,476,Electric,Flying,Dancer,,,2 SpA,F (75%),Flying,,45,N
742,Cutiefly,VII,40,45,40,55,40,84,304,Bug,Fairy,Honey Gather,Sheild Dust,Sweet Veil,1 Spd,Neutral,Bug,Fairy,190,
743,Ribombee,VII,60,55,60,95,70,124,464,Bug,Fairy,Honey Gather,Sheild Dust,Sweet Veil,2 Spd,Neutral,Bug,Fairy,75,Level 25
744,Rockruff,VII,45,65,40,30,40,60,280,Rock,,Keen Eye,Vital Spirit,Steadfast,1 Atk,Neutral,Field,,190,
745,Day Lycanroc,VII,75,115,65,55,65,112,487,Rock,,Keen Eye,Sand Rush,Steadfast,2 Atk,Neutral,Field,,90,"Level 25, Day"
746,Wishiwashi,VII,45,20,20,25,25,40,175,Water,,Schooling,,,1 HP,Neutral,Water 2,,60,N
747,Mareanie,VII,50,53,62,43,52,45,305,Poison,Water,Merciless,Limber,Regenerator,1 Def,Neutral,Water 1,,190,
748,Toxapex,VII,50,63,152,53,142,35,495,Poison,Water,Merciless,Limber,Regenerator,2 Def,Neutral,Water 1,,75,Level 38
749,Mudbray,VII,70,100,70,45,55,45,385,Ground,,Own Tempo,Stamina,Inner Focus,1 Atk,Neutral,Field,,190,
750,Mudsdale,VII,100,125,100,55,85,35,500,Ground,,Own Tempo,Stamina,Inner Focus,2 Atk,Neutral,Field,,60,Level 30
751,Dewpider,VII,38,40,52,40,72,27,269,Water,Bug,Water Bubble,,Water Absorb,1 SpD,Neutral,Water 1,Bug,200,
752,Araquanid,VII,68,70,92,50,132,42,454,Water,Bug,Water Bubble,,Water Absorb,2 SpD,Neutral,Water 1,Bug,100,Level 22
753,Fomantis,VII,40,55,35,50,35,35,250,Grass,,Leaf Guard,,Contrary,1 Atk,Neutral,Grass,,190,
754,Lurantis,VII,70,105,90,80,90,45,480,Grass,,Leaf Guard,,Contrary,2 Atk,Neutral,Grass,,75,"Level 34, Day"
755,Morelull,VII,40,35,55,65,75,15,285,Grass,Fairy,Illuminate,Effect Spore,Rain Dish,1 SpD,Neutral,Grass,,190,
756,Shiinotic,VII,60,45,80,90,100,30,405,Grass,Fairy,Illuminate,Effect Spore,Rain Dish,2 SpD,Neutral,Grass,,75,Level 24
757,Salandit,VII,48,44,40,71,40,77,320,Poison,Fire,Corrosion,,Oblivious,1 Spd,M (87.5%),Monster,Dragon,120,
758,Salazzle,VII,68,64,60,111,60,117,480,Poison,Fire,Corrosion,,Oblivious,2 Spd,F (100%),Monster,Dragon,45,"Level 33, Female Only"
759,Stufful,VII,70,75,50,45,50,50,340,Normal,Fighting,Fluffy,Klutz,Cute Charm,1 Atk,Neutral,Field,,140,
760,Bewear,VII,120,125,80,55,60,60,500,Normal,Fighting,Fluffy,Klutz,Unnerve,2 Atk,Neutral,Field,,70,Level 27
761,Bounsweet,VII,42,30,38,30,38,32,210,Grass,,Leaf Guard,Oblivious,Sweet Veil,1 HP,F (100%),Grass,,235,
762,Steenee,VII,52,40,48,40,48,62,290,Grass,,Leaf Guard,Oblivious,Sweet Veil,2 Spd,F (100%),Grass,,120,Level 18
763,Tsareena,VII,72,120,98,50,98,72,510,Grass,,Leaf Guard,Queenly Majesty,Sweet Veil,3 Atk,F (100%),Grass,,45,"Level Up, knows Stomo"
764,Comfey,VII,51,52,90,82,110,100,485,Fairy,,Flower Veil,Triage,Natural Cure,2 SpD,F (75%),Grass,,60,N
765,Oranguru,VII,90,60,80,90,110,60,490,Normal,Psychic,Inner Focus,Telepathy,Symbiosis,2 SpD,Neutral,Field,,45,N
766,Passimian,VII,100,120,90,40,60,80,490,Fighting,,Receiver,,Defiant,2 Atk,Neutral,Field,,45,N
767,Wimpod,VII,25,35,40,20,30,80,230,Bug,Water,Wimp Out,,,1 Spd,Neutral,Bug,Water 3,90,
768,Golisopod,VII,75,125,140,60,90,40,530,Bug,Water,Emergency Exit,,,2 Def,Neutral,Bug,Water 3,45,Level 30
769,Sandygast,VII,55,55,80,70,45,15,320,Ghost,Ground,Water Compaction,,Sand Veil,1 Def,Neutral,Amorphous,,140,
770,Palossand,VII,85,75,110,100,75,35,480,Ghost,Ground,Water Compaction,,Sand Veil,2 Def,Neutral,Amorphous,,60,Level 42
771,Pyukumuku,VII,55,60,130,30,130,5,410,Water,,Innards Out,,Unaware,2 SpD,Neutral,Water 1,,60,N
772,Type: Null,VII,95,95,95,95,95,59,534,Normal,,Battle Armor,,,2 HP,Neutral,-,,3,
773,Silvally,VII,95,95,95,95,95,95,570,Normal,,RKS System,,,3 HP,Neutral,-,,3,High Friendship
774,Minior,VII,60,60,100,60,100,60,440,Rock,Flying,Shields Down,,,"1 Def, 1 SpD",Neutral,Mineral,,30,N
775,Komala,VII,65,115,65,75,95,65,480,Normal,,Comatose,,,2 Atk,Neutral,Field,,45,N
776,Turtonator,VII,60,78,135,91,85,36,485,Fire,Dragon,Shell Armor,,,2 Def,Neutral,Monster,Dragon,70,N
777,Togedemaru,VII,65,98,63,40,73,96,435,Electric,Steel,Iron Barbs,Lightning Rod,Sturdy,2 Atk,Neutral,Field,Fairy,180,N
778,Mimikyu,VII,55,90,80,50,105,96,476,Ghost,Fairy,DIsguise,,,2 SpD,Neutral,Amorphous,,45,N
779,Bruxish,VII,68,105,70,70,70,92,475,Water,Psychic,Dazzling,Strong Jaw,Wonder Skin,2 Atk,Neutral,Water 2,,80,N
780,Drampa,VII,78,60,85,135,91,36,485,Normal,Dragon,Berserk,Sap Sipper,Cloud Nine,2 SpA,Neutral,Monster,Dragon,70,N
781,Dhelmise,VII,70,131,100,86,90,40,517,Ghost,Grass,Steelworker,,,2 Atk,None,Mineral,,25,N
782,Jangmo-o,VII,45,55,65,45,45,45,300,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,1 Def,Neutral,Dragon,,45,
783,Hakamo-o,VII,55,75,90,65,70,65,420,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,2 Def,Neutral,Dragon,,45,Level 35
784,Kommo-o,VII,75,110,125,100,105,85,600,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,3 Def,Neutral,Dragon,,45,Level 45
785,Tapu Koko,VII,70,115,85,95,75,130,570,Electric,Fairy,Electric Surge,,Telepathy,3 Spd,None,-,,3,N
786,Tapu Lele,VII,70,85,75,130,115,95,570,Psychic,Fairy,Psychic Surge,,Telepathy,3 SpA,None,-,,3,N
787,Tapu Bulu,VII,70,130,115,85,95,75,570,Grass,Fairy,Grassy Surge,,Telepathy,3 Atk,None,-,,3,N
788,Tapu Fini,VII,70,75,115,95,130,85,570,Water,Fairy,Misty Surge,,Telepathy,3 SpD,None,-,,3,N
789,Cosmog,VII,43,29,31,29,31,37,200,Psychic,,Unaware,,,1 HP,None,-,,45,
790,Cosmoem,VII,43,29,131,29,131,37,400,Psychic,,Sturdy,,,"1 Def, 1 SpD",None,-,,45,Level 43
791,Solgaleo,VII,137,137,107,113,89,97,680,Psychic,Steel,Full Metal Body,,,3 Atk,None,-,,45,"Level 53 (Sun, U-Sun, Sword)"
792,Lunala,VII,137,113,89,137,107,97,680,Psychic,Ghost,Shadow Shield,,,3 SpA,None,-,,45,"Level 53 (Moon, U-Moon, Shield)"
793,Nihilego,VII,109,53,47,127,131,103,570,Rock,Poison,Beast Boost,,,3 SpD,None,-,,45,N
